ablation,task,budget,seed,aubc,consumed_budget,total_budget,hv_final,pareto_size,n_calls,run_dir,sample_count,valid_count,null_score_count,recorded_null_rate,valid_yield_per_100_calls,generation_attempts,non_generation_calls,unregistered_generation_count,invalid_null_proxy_rate
no_ph,tri_tsp,200,2025,197403.7816287725,200.0,200.0,208341.7220356438,12,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B200/seed2025/20260624_064807_TRITSPEvaluation_BMAB-no_ph,19,19,0,0.0,9.5,186,14,167,0.8978494623655914
no_ph,tri_tsp,200,2026,193154.7271764297,200.0,200.0,207821.1717270449,12,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B200/seed2026/20260624_074512_TRITSPEvaluation_BMAB-no_ph,30,30,0,0.0,15.0,186,14,156,0.8387096774193549
no_ph,tri_tsp,200,2027,189690.94837246087,200.0,200.0,208214.74426016075,12,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B200/seed2027/20260624_085044_TRITSPEvaluation_BMAB-no_ph,22,22,0,0.0,11.0,187,13,165,0.8823529411764706
no_ph,tri_tsp,200,2028,191108.86570529395,200.0,200.0,206605.24024780435,12,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B200/seed2028/20260624_094538_TRITSPEvaluation_BMAB-no_ph,23,23,0,0.0,11.5,187,13,164,0.8770053475935828
no_ph,tri_tsp,200,2029,189903.61272673678,200.0,200.0,208094.26784104502,12,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B200/seed2029/20260624_104950_TRITSPEvaluation_BMAB-no_ph,21,21,0,0.0,10.5,187,13,166,0.8877005347593583
no_ph,tri_tsp,25,2025,136512.54621030766,25.0,25.0,206837.1912277389,6,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B25/seed2025/20260623_203003_TRITSPEvaluation_BMAB-no_ph,6,6,0,0.0,24.0,24,1,18,0.75
no_ph,tri_tsp,25,2026,169159.86368959813,25.0,25.0,206292.5166946319,6,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B25/seed2026/20260623_205059_TRITSPEvaluation_BMAB-no_ph,7,7,0,0.0,28.000000000000004,22,3,15,0.6818181818181818
no_ph,tri_tsp,25,2027,124268.14542119026,25.0,25.0,207113.57570198376,6,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B25/seed2027/20260624_014353_TRITSPEvaluation_BMAB-no_ph,6,6,0,0.0,24.0,24,1,18,0.75
no_ph,tri_tsp,25,2028,152870.8548914324,25.0,25.0,206582.2363397735,6,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B25/seed2028/20260624_020007_TRITSPEvaluation_BMAB-no_ph,8,8,0,0.0,32.0,23,2,15,0.6521739130434783
no_ph,tri_tsp,25,2029,120132.32201703067,25.0,25.0,207124.69313281152,6,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B25/seed2029/20260624_021332_TRITSPEvaluation_BMAB-no_ph,7,7,0,0.0,28.000000000000004,24,1,17,0.7083333333333334
no_ph,tri_tsp,50,2025,177874.60503280666,50.0,50.0,206830.9360846589,8,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B50/seed2025/20260624_022340_TRITSPEvaluation_BMAB-no_ph,15,15,0,0.0,30.0,46,4,31,0.6739130434782609
no_ph,tri_tsp,50,2026,169740.08621690606,50.0,50.0,207000.10514256835,8,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B50/seed2026/20260624_024912_TRITSPEvaluation_BMAB-no_ph,9,9,0,0.0,18.0,46,4,37,0.8043478260869565
no_ph,tri_tsp,50,2027,153426.8802705029,50.0,50.0,207333.6219871661,8,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B50/seed2027/20260624_031130_TRITSPEvaluation_BMAB-no_ph,12,12,0,0.0,24.0,47,3,35,0.7446808510638298
no_ph,tri_tsp,50,2028,144632.30978581303,50.0,50.0,206617.58540830435,8,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B50/seed2028/20260624_033243_TRITSPEvaluation_BMAB-no_ph,9,9,0,0.0,18.0,47,3,38,0.8085106382978723
no_ph,tri_tsp,50,2029,138479.0001649309,50.0,50.0,206685.0748730312,8,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/tri_tsp/B50/seed2029/20260624_035319_TRITSPEvaluation_BMAB-no_ph,8,8,0,0.0,16.0,48,2,40,0.8333333333333334
