ablation,task,budget,seed,aubc,hv_final,pareto_size,consumed_budget,total_budget,n_calls,run_dir
mpage_orig,bi_cvrp,25,2025,4525.1352660565535,16161.197378773408,4,25.0,25.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B25/seed2025/20260526_131017_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,25,2026,3611.0523350491712,4751.384651380488,4,25.0,25.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B25/seed2026/20260526_131910_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,25,2027,9200.331825616564,15333.886376027609,4,25.0,25.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B25/seed2027/20260526_132610_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,25,2028,9205.275233488775,17702.452372093794,4,25.0,25.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B25/seed2028/20260526_133327_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,25,2029,10071.70429498366,17985.18624104225,4,25.0,25.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B25/seed2029/20260526_134202_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,50,2025,10099.447545711615,17412.840596054517,6,50.0,50.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B50/seed2025/20260526_134909_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,50,2026,9098.50732986523,19779.36376057659,6,50.0,50.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B50/seed2026/20260526_140317_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,50,2027,6393.996997874462,13320.82707890513,6,50.0,50.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B50/seed2027/20260526_142333_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,50,2028,3435.6988364606946,13214.226294079594,6,50.0,50.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B50/seed2028/20260526_143839_BICVRPEvaluation_MPaGE-orig
mpage_orig,bi_cvrp,50,2029,8403.552685705881,17507.401428553923,6,50.0,50.0,1,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/mpage_orig/bi_cvrp/B50/seed2029/20260526_150044_BICVRPEvaluation_MPaGE-orig
