comparator,task,budget,metric,n_seeds,full_mean,comparator_mean,delta_mean,delta_std,delta_pct_from_means,paired_delta_pct_mean,wins,ties,losses,p_value
full_old,bi_kp,100,aubc,5,28990.40519447092,27489.81234369162,1500.5928507792996,16949.73946587085,5.458723515526853,58.07043602283909,2,0,3,1.0
full_old,bi_kp,100,hv_final,5,35728.23221904697,29927.26140087672,5800.97081817026,14673.83167366628,19.383567177985462,71.76010829837129,2,0,3,0.8125
full_old,bi_kp,200,aubc,5,24189.083089825926,29643.502125889925,-5454.419036063997,15507.252619154719,-18.400049403407838,-2.317633647544528,1,0,4,0.625
full_old,bi_kp,200,hv_final,5,30175.451630595526,31724.052920625625,-1548.6012900300987,14876.304811168578,-4.881473668905856,10.241213425411313,1,0,4,0.625
mpage_orig,bi_tsp,25,aubc,5,12428.342497742873,9841.931473058481,2586.411024684391,1508.0452516305822,26.279506535525975,30.530507016589866,5,0,0,0.0625
mpage_orig,bi_tsp,25,hv_final,5,14717.520849463262,14750.83023495063,-33.309385487366306,495.4204393102051,-0.22581363188930448,-0.1439065963633878,2,0,3,1.0
mpage_orig,bi_tsp,50,aubc,5,12931.550050176418,11807.552832209509,1123.9972179669112,923.4484668055482,9.519307124341525,10.15133252151245,5,0,0,0.0625
mpage_orig,bi_tsp,50,hv_final,5,14810.352873583684,14911.440973810697,-101.08810022701218,342.49962828142486,-0.6779230820452287,-0.6642791780044299,2,0,3,0.625
mpage_orig,bi_tsp,100,aubc,5,14030.133982536267,12956.306839842171,1073.8271426940933,549.2272861328356,8.288065078791984,8.422763549809448,5,0,0,0.0625
mpage_orig,bi_tsp,100,hv_final,5,15023.614726933849,15096.618843602013,-73.00411666816399,101.03229965470197,-0.4835792532385752,-0.4814115678815112,1,0,4,0.125
mpage_orig,bi_tsp,200,aubc,5,14331.861838455114,13462.571498930798,869.290339524315,457.35830917746273,6.457089862760279,6.603769176962198,5,0,0,0.0625
mpage_orig,bi_tsp,200,hv_final,5,15198.49961538538,15016.311139088284,182.18847629709597,252.61001060454342,1.2132705203666827,1.2356090766816608,4,0,1,0.125
mpage_orig,tri_tsp,25,aubc,5,144450.15885480464,87564.6536917624,56885.505163042224,23533.56676948985,64.96400404127188,84.98837544199412,5,0,0,0.0625
mpage_orig,tri_tsp,25,hv_final,5,206791.18680863173,206676.6266863874,114.5601222443278,1553.0030659843342,0.055429645858384724,0.057249499150222594,3,0,2,1.0
mpage_orig,tri_tsp,50,aubc,5,160956.92304160612,137434.62173016855,23522.301311437543,17736.414598677966,17.115266164605835,18.291218920978256,4,0,1,0.125
mpage_orig,tri_tsp,50,hv_final,5,207540.11827129213,206978.34105713345,561.7772141586931,764.3873153094968,0.2714183577322338,0.2715733024476008,3,0,2,0.3125
mpage_orig,tri_tsp,100,aubc,5,179784.92002361311,152646.74125501543,27138.178768597707,16208.98505556515,17.778419994738037,19.093986498116557,5,0,0,0.0625
mpage_orig,tri_tsp,100,hv_final,5,207927.8098565409,207362.14294651497,565.6669100259023,875.2931374259172,0.2727917940990032,0.27345695393351743,3,0,2,0.3125
mpage_orig,tri_tsp,200,aubc,5,188432.1466497327,165126.1997109829,23305.9469387498,4305.119914010398,14.11402126345893,14.131350371639147,5,0,0,0.0625
mpage_orig,tri_tsp,200,hv_final,5,207635.00967666012,207182.2764044278,452.7332722323132,389.6021000672402,0.21851930584475543,0.2186440359649544,4,0,1,0.125
mpage_orig,bi_cvrp,25,aubc,5,13399.39245809876,7322.6997910389455,6076.692667059814,6413.921542483166,82.98432054385303,133.8191937366295,4,0,1,0.125
mpage_orig,bi_cvrp,25,hv_final,5,18864.473998623725,14386.82140386351,4477.652594760215,6732.561392505196,31.12329311016375,71.25019593626479,4,0,1,0.1875
mpage_orig,bi_cvrp,50,aubc,5,13893.797438292266,7486.240679123577,6407.556759168692,3122.169598845391,85.59111353495554,116.79727223199488,5,0,0,0.0625
mpage_orig,bi_cvrp,50,hv_final,5,17669.63358871531,16246.931831633952,1422.7017570813598,3348.015916785916,8.756741099333333,11.882332429205736,2,0,3,0.8125
mpage_orig,bi_cvrp,100,aubc,5,14713.25354804101,12211.73810911956,2501.515438921448,1546.6642454824073,20.484515935150547,21.630276908342765,5,0,0,0.0625
mpage_orig,bi_cvrp,100,hv_final,5,18874.829633509045,18153.26695885686,721.5626746521841,3268.457575185567,3.9748364649049517,5.34073241882665,2,0,3,0.8125
mpage_orig,bi_cvrp,200,aubc,5,15707.164092901405,13339.386205422492,2367.7778874789137,1974.7116111629875,17.75027614476299,19.778049673646525,5,0,0,0.0625
mpage_orig,bi_cvrp,200,hv_final,5,19571.232765715155,17210.426910671402,2360.805855043748,2735.73843122368,13.71729979330103,14.252751754961974,4,0,1,0.1875
mpage_orig,bi_kp,25,aubc,5,23304.445221531994,16217.363708114683,7087.081513417308,14381.705020621259,43.70057699249323,575.6370638750989,4,0,1,0.4375
mpage_orig,bi_kp,25,hv_final,5,28805.20819393613,24123.138004274635,4682.070189661495,14476.258060038113,19.40904284024669,193.17235512300266,3,0,2,0.8125
mpage_orig,bi_kp,50,aubc,5,30595.081045775918,21096.101819160813,9498.979226615105,7896.252145624041,45.027177570727936,58.13907139633693,5,0,0,0.0625
mpage_orig,bi_kp,50,hv_final,5,35331.15958226822,29638.702837502242,5692.456744765977,10466.639366564235,19.206160188506093,32.742456288443385,4,0,1,0.3125
mpage_orig,bi_kp,100,aubc,5,28990.40519447092,23046.102369149106,5944.30282532181,17165.244681304666,25.79309390415281,78.6581027744367,3,0,2,0.625
