comparator,task,budget,seed,metric,full,comparator_value,delta,delta_pct
mpage_orig,bi_tsp,100,2026,aubc,14117.248139808182,12718.52648464754,1398.7216551606416,10.99751340573163
mpage_orig,bi_tsp,100,2027,aubc,14252.99935548939,13107.871373536815,1145.1279819525753,8.736185680494613
mpage_orig,bi_tsp,100,2028,aubc,13864.553711480794,13372.299643442253,492.25406803854094,3.6811474552916
mpage_orig,bi_tsp,100,2029,aubc,13997.771114406823,12222.75182259088,1775.0192918159428,14.522255851871568
mpage_orig,bi_tsp,100,2025,hv_final,14968.25389571526,15217.68677731296,-249.43288159770054,-1.639098538744821
mpage_orig,bi_tsp,100,2026,hv_final,14946.857918219399,14973.871427775333,-27.013509555934434,-0.18040431084392905
mpage_orig,bi_tsp,100,2027,hv_final,15014.01187066634,15066.724380929141,-52.712510262801516,-0.3498604536067762
mpage_orig,bi_tsp,100,2028,hv_final,15137.157173000645,15131.529824596137,5.627348404508666,0.03718955366536214
mpage_orig,bi_tsp,100,2029,hv_final,15051.7927770676,15093.281807396492,-41.48903032889211,-0.2748840898773919
mpage_orig,bi_tsp,200,2025,aubc,14380.437637309426,13956.7595572464,423.67808006302585,3.0356479118611057
mpage_orig,bi_tsp,200,2026,aubc,14592.658812191205,14199.470137134484,393.18867505672097,2.7690376560492336
mpage_orig,bi_tsp,200,2027,aubc,13989.500831149868,12521.066369306596,1468.4344618432715,11.727710871678676
mpage_orig,bi_tsp,200,2028,aubc,14113.315819659387,13067.507499553265,1045.8083201061218,8.003120106430961
mpage_orig,bi_tsp,200,2029,aubc,14583.396091965678,13568.053931413244,1015.3421605524345,7.483329338791012
mpage_orig,bi_tsp,200,2025,hv_final,15101.350558915781,15150.614526317624,-49.26396740184282,-0.3251615128631813
mpage_orig,bi_tsp,200,2026,hv_final,15377.813820348845,15236.99735145164,140.8164688972047,0.924174662823507
mpage_orig,bi_tsp,200,2027,hv_final,15183.61359870662,14572.255857112392,611.3577415942291,4.195354155107278
mpage_orig,bi_tsp,200,2028,hv_final,15143.162618048673,14996.972597168611,146.19002088006164,0.9747968793892614
mpage_orig,bi_tsp,200,2029,hv_final,15186.557480906975,15124.715363391148,61.84211751582734,0.4088811989514385
mpage_orig,tri_tsp,25,2025,aubc,115479.60804093242,41610.5987020576,73869.00933887482,177.524504917114
mpage_orig,tri_tsp,25,2026,aubc,149119.5999347522,98954.6115682449,50164.988366507285,50.69494748297867
mpage_orig,tri_tsp,25,2027,aubc,161070.49968497525,99089.87701185847,61980.622673116784,62.54990372598739
mpage_orig,tri_tsp,25,2028,aubc,144667.47474195415,65983.79026639968,78683.68447555447,119.2469910532282
mpage_orig,tri_tsp,25,2029,aubc,151913.61187140917,132184.39091025144,19729.220961157727,14.92553003066237
mpage_orig,tri_tsp,25,2025,hv_final,206213.5857873793,208052.993510288,-1839.4077229087125,-0.8841053867450155
mpage_orig,tri_tsp,25,2026,hv_final,207110.5554649336,206155.44076717686,955.1146977567405,0.46329832198579446
mpage_orig,tri_tsp,25,2027,hv_final,207479.51920738546,206437.2437747052,1042.2754326802678,0.5048873030962131
mpage_orig,tri_tsp,25,2028,hv_final,207863.60889236676,206199.34458249898,1664.26430986778,0.8071142579223478
mpage_orig,tri_tsp,25,2029,hv_final,205288.66469109347,206538.1107972679,-1249.4461061744369,-0.6049470005082269
mpage_orig,tri_tsp,50,2025,aubc,158972.99212707314,115820.96062695242,43152.03150012072,37.25753202747908
mpage_orig,tri_tsp,50,2026,aubc,147290.9463269837,152726.7207356753,-5435.774408691592,-3.5591508692832563
mpage_orig,tri_tsp,50,2027,aubc,164612.5514833141,136857.17871286935,27755.372770444752,20.28053846461091
mpage_orig,tri_tsp,50,2028,aubc,155685.0948226461,128287.49845089922,27397.59637174687,21.356403938481215
mpage_orig,tri_tsp,50,2029,aubc,178223.03044801342,153480.75012444647,24742.280323566956,16.120771043603344
mpage_orig,tri_tsp,50,2025,hv_final,206458.43133386123,206823.14397670078,-364.7126428395568,-0.17634034365160423
mpage_orig,tri_tsp,50,2026,hv_final,207452.03708025874,206387.46045361512,1064.5766266436258,0.5158145869442965
mpage_orig,tri_tsp,50,2027,hv_final,208394.09539483703,207359.36168616576,1034.733708671265,0.49900506071065553
mpage_orig,tri_tsp,50,2028,hv_final,208159.94563120895,206915.3200820956,1244.6255491133488,0.601514449785312
mpage_orig,tri_tsp,50,2029,hv_final,207236.0819162947,207406.41908708992,-170.3371707952174,-0.08212724155065576
mpage_orig,tri_tsp,100,2025,aubc,166479.00382380327,121860.01227856004,44618.99154524323,36.6149573686638
mpage_orig,tri_tsp,100,2026,aubc,178803.26376682252,167795.37456760957,11007.88919921295,6.560305507573783
mpage_orig,tri_tsp,100,2027,aubc,178851.2959458734,162288.87889966377,16562.417046209623,10.205515718947966
mpage_orig,tri_tsp,100,2028,aubc,184921.41211274077,166030.63897696315,18890.77313577762,11.377883776258146
mpage_orig,tri_tsp,100,2029,aubc,189869.62446882567,145258.80155228058,44610.82291654509,30.71127011913908
