ablation,task,budget,seed,total_budget,sample_count,valid_count,null_score_count,recorded_null_rate,valid_yield_per_budget,generation_attempts,non_generation_calls,unregistered_generation_count,invalid_null_proxy_rate,run_dir
full,bi_kp,25,2025,25.0,7,7,0,0.0,0.28,21,4,14,0.6666666666666666,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2025/20260525_010054_BIKPEvaluation_BMAB-full
full,bi_kp,25,2026,25.0,4,4,0,0.0,0.16,21,4,17,0.8095238095238095,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2026/20260525_010921_BIKPEvaluation_BMAB-full
full,bi_kp,25,2027,25.0,6,6,0,0.0,0.24,21,4,15,0.7142857142857143,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2027/20260525_011535_BIKPEvaluation_BMAB-full
full,bi_kp,25,2028,25.0,5,5,0,0.0,0.2,21,4,16,0.7619047619047619,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2028/20260525_012333_BIKPEvaluation_BMAB-full
full,bi_kp,25,2029,25.0,4,4,0,0.0,0.16,22,3,18,0.8181818181818182,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2029/20260525_012932_BIKPEvaluation_BMAB-full
full,bi_kp,50,2025,50.0,9,9,0,0.0,0.18,44,6,35,0.7954545454545454,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2025/20260525_013813_BIKPEvaluation_BMAB-full
full,bi_kp,50,2026,50.0,9,9,0,0.0,0.18,45,5,36,0.8,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2026/20260525_014927_BIKPEvaluation_BMAB-full
full,bi_kp,50,2027,50.0,8,8,0,0.0,0.16,44,6,36,0.8181818181818182,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2027/20260525_020836_BIKPEvaluation_BMAB-full
full,bi_kp,50,2028,50.0,7,7,0,0.0,0.14,44,6,37,0.8409090909090909,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2028/20260525_022007_BIKPEvaluation_BMAB-full
full,bi_kp,50,2029,50.0,7,7,0,0.0,0.14,44,6,37,0.8409090909090909,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2029/20260525_022944_BIKPEvaluation_BMAB-full
full,bi_tsp,100,2025,100.0,20,20,0,0.0,0.2,90,10,70,0.7777777777777778,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2025/20260524_001519_BITSPEvaluation_BMAB-full
full,bi_tsp,100,2026,100.0,24,24,0,0.0,0.24,90,10,66,0.7333333333333333,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2026/20260524_003243_BITSPEvaluation_BMAB-full
full,bi_tsp,100,2027,100.0,17,17,0,0.0,0.17,90,10,73,0.8111111111111111,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2027/20260524_004756_BITSPEvaluation_BMAB-full
full,bi_tsp,100,2028,100.0,26,26,0,0.0,0.26,90,10,64,0.7111111111111111,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2028/20260524_010431_BITSPEvaluation_BMAB-full
full,bi_tsp,100,2029,100.0,16,16,0,0.0,0.16,91,9,75,0.8241758241758241,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2029/20260524_011928_BITSPEvaluation_BMAB-full
